"MF_name","CD4_Tcell","NK_cell","M2","M1","DC_cell","T_helper","Treg","CD8_Tcell","memory_CD8T","B_memory"
"HSF1","4.467692","4.2338915","4.857048","5.241645","4.80722","4.443416","8.4143165","4.583046","7.1671235","6.721229"
"CAMK2D","4.626394","4.8426735","5.448752","5.767091","5.1149505","5.465812","9.384149","5.597098","6.940003","6.473998"
"MANBA","5.979924","7.188906","9.596449","8.6637675","10.2093835","6.819592","5.1641295","7.848823","7.1330625","7.398842"
"CYBA","9.048627","11.9122395","11.519187","12.318821","12.1695185","9.496025","7.2104035","9.678487","9.604596","8.375442"
"RASAL3","8.512254","9.108225","6.322959","7.0169775","6.010404","8.440758","7.6875875","9.176835","9.8269345","8.1741575"
"MAP1LC3B2","7.982805","9.9285825","10.135998","10.313795","10.622512","7.929626","9.7871595","6.967921","8.9435455","9.33932"
"HIST1H3C","5.027643","5.145713","5.222115","5.285556","5.3811175","5.268879","6.428393","5.141989","7.2080905","11.7281365"
"MFSD1","8.263788","9.7194215","12.992061","12.152047","12.5317185","8.533243","7.4610505","9.412129","8.155285","9.352386"
"MNS1","3.227904","3.462097","3.341167","3.0916965","3.4720435","3.487223","3.6812505","3.165783","3.450648","6.8273405"
"PLCXD2","7.713339","9.186608","3.097727","3.39108","3.273999","6.049471","4.396548","7.641889","7.3900645","5.0955055"
"SOCS4","3.86493","4.18959","3.702894","3.830349","3.9754815","3.814231","8.661591","3.250949","7.097873","7.469424"
"ND3","14.28541","14.365101","14.443253","14.490434","14.53616","13.070728","12.7712285","14.121609","13.252373","12.8228285"
"WASH5P","5.024999","4.60087","4.529298","4.8142775","4.5654955","4.782782","7.016519","4.680371","7.697623","6.791118"
